Bundesland;Regionalbereich;Bf. Nr.;Station;Bf DS 100 Abk.;Kategorie Vst;StraÃŸe;PLZ;Ort;AufgabentrÃ¤ger;VerkehrsverbÃ¼nde;Fernverkehr;Nahverkehr
Sachsen;Erzgebirgsbahn (EGB);5553;Scheibenberg;DSG;EGB;Gewerbegebiet am Bahnhof;9481;Scheibenberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5589;Schlettau (Erzgeb);DSCL;EGB;BahnhofstraÃŸe;9487;Schlettau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Westfrankenbahn (WFB);5625;Schneeberg im Odenwald;NSCB;WFB 2;BahnhofstraÃŸe;63936;Schneeberg;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);5689;Schrozberg;TSZG;WFB 1;BahnhofstraÃŸe 14;74575;Schrozberg;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;KreisVerkehr SchwÃ¤bisch Hall;nein;ja
ThÃ¼ringen;OberweiÃŸbacher Berg- und Schwarzatalbahn (OBS);5720;Schwarzburg;USCG;OBS;Bahnhof 1;7427;Schwarzburg;Nahverkehrsservicegesellschaft ThÃ¼ringen;-;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5728;Schwarzenberg (Erzgeb);DSC;EGB;BahnhofstraÃŸe;8340;Schwarzenberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5729;Schwarzenberg (Erzgeb) Hp;DSCH;EGB;Karlsbader StraÃŸe;8340;Schwarzenberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5730;Schwarzenberg-Neuwelt;DSCN;EGB;TalstraÃŸe;8340;Schwarzenberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5801;Sehma;DSEH;EGB;BahnhofstraÃŸe;9465;Sehmatal;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);5803;Seiboldsdorf;MSBD;SOB;Seiboldsdorfer MÃ¼hle 2;83278;Traunstein;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);5845;Siegsdorf;MSGD;SOB;BahnhofstraÃŸe;83313;Siegsdorf;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5858;SilberstraÃŸe;DSBS;EGB;Schneeberger StraÃŸe;8112;Wilkau-HaÃŸlau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);5859;Simbach (Inn);MSBI;SOB;Bahnhofplatz 1;84359;Simbach a.Inn;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Hessen;Kurhessenbahn (KHB);5862;Simtshausen;FSMH;KHB 2;-;-;MÃ¼nchhausen;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
ThÃ¼ringen;OberweiÃŸbacher Berg- und Schwarzatalbahn (OBS);5874;Sitzendorf-UnterweiÃŸbach;USDF;OBS;BahnhofstraÃŸe 1;7429;UnterweiÃŸbach;Nahverkehrsservicegesellschaft ThÃ¼ringen;-;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);5914;Soyen;MSY;SOB;Heckenstr. 10-21;83564;Soyen;Bayrische Eisenbahn Gesellschaft;-;nein;ja
